<node>	<field>	<description>	<type>	<terms>	<pattern>	<maximum>	<minimum>	<options1>	<options2>	<options3>	<options4>	<options5>	<options6>	<options7>	<options8>
bcma_medication_log	ActionStatus	"ActionStatus
"	string												
bcma_medication_log	ActionTime	"ActionTime
"	string												
bcma_medication_log	BCMADispensedDrugIssueTime	"BCMADispensedDrugIssueTime
"	string												
bcma_medication_log	DayOrDoseLimit	"DayOrDoseLimit
"	string												
bcma_medication_log	DaysFromAnchorDateToActionDate	"DaysFromAnchorDateToActionDate
"	integer												
bcma_medication_log	DaysFromAnchorDateToBCMADispensedDrugIssueDate	"DaysFromAnchorDateToBCMADispensedDrugIssueDate
"	integer												
bcma_medication_log	DaysFromAnchorDateToEnteredDate	"DaysFromAnchorDateToEnteredDate
"	integer												
bcma_medication_log	DaysFromAnchorDateToInactiveDate	"DaysFromAnchorDateToInactiveDate
"	integer												
bcma_medication_log	DaysFromAnchorDateToPRNEffectivenessEnteredDate	"DaysFromAnchorDateToPRNEffectivenessEnteredDate
"	integer												
bcma_medication_log	DaysFromAnchorDateToScheduledAdministrationDate	"DaysFromAnchorDateToScheduledAdministrationDate
"	integer												
bcma_medication_log	DaysFromAnchorDateToWitnessDate	"DaysFromAnchorDateToWitnessDate
"	integer												
bcma_medication_log	DosageForm	"DosageForm
"	string												
bcma_medication_log	DosesGiven	"DosesGiven
"	number												
bcma_medication_log	DosesOrdered	"DosesOrdered
"	number												
bcma_medication_log	DrugClass	"DrugClass
"	string												
bcma_medication_log	DrugClassification	"DrugClassification
"	string												
bcma_medication_log	DrugNameWithoutDose	"DrugNameWithoutDose
"	string												
bcma_medication_log	EnteredTime	"EnteredTime
"	string												
bcma_medication_log	FormularyStatusFlag	"FormularyStatusFlag
"	string												
bcma_medication_log	HighRiskHighAlertMedication	"HighRiskHighAlertMedication
"	number												
bcma_medication_log	ImmunizationName	"ImmunizationName
"	string												
bcma_medication_log	InfusionRate	"InfusionRate
"	number												
bcma_medication_log	InjectionSite	"InjectionSite
"	string												
bcma_medication_log	IVFlag	"IVFlag
"	string												
bcma_medication_log	LocalDrugNameWithDose	"LocalDrugNameWithDose
"	string												
bcma_medication_log	MedicationRoute	"MedicationRoute
"	string												
bcma_medication_log	NonVAMedFlag	"NonVAMedFlag
"	string												
bcma_medication_log	OrderAdministrationVariance	"OrderAdministrationVariance
"	number												
bcma_medication_log	OrderDosage	"OrderDosage
"	string												
bcma_medication_log	OrderReferenceNumber	"OrderReferenceNumber
"	string												
bcma_medication_log	OrderSchedule	"OrderSchedule
"	string												
bcma_medication_log	OtherLanguageInstructions	"OtherLanguageInstructions
"	string												
bcma_medication_log	PharmacyOrderableItem	"PharmacyOrderableItem
"	string												
bcma_medication_log	PharmacyOrderableItemSchedule	"PharmacyOrderableItemSchedule
"	string												
bcma_medication_log	PRNEffectivenessEnteredTime	"PRNEffectivenessEnteredTime
"	string												
bcma_medication_log	PRNEffectivenessMinutes	"PRNEffectivenessMinutes
"	number												
bcma_medication_log	PRNReason	"PRNReason
"	string												
bcma_medication_log	PRNReasonNumber	"PRNReasonNumber
"	number												
bcma_medication_log	ScheduledAdministrationTime	"ScheduledAdministrationTime
"	string												
bcma_medication_log	ScheduleType	"ScheduleType
"	string												
bcma_medication_log	SupplyFlag	"SupplyFlag
"	string												
bcma_medication_log	WitnessDateTime	"WitnessDateTime
"	string												
bcma_medication_log	WitnessFlag	"WitnessFlag
"	string												
bcma_medication_log	WitnessHighRiskAlertStatus	"WitnessHighRiskAlertStatus
"	number												
bcma_medication_log	WitnessTime	"WitnessTime
"	string												
aliquot	aliquot_container	The device in which the final aliquot is held. Slides or vials.	enum					Slide | Vial | Other | Not Applicable 							
aliquot	aliquot_quantity		number	_terms.yaml#/aliquot_quantity											
aliquot	aliquot_volume		number	_terms.yaml#/aliquot_volume											
aliquot	analyte_a260_a280_ratio	"The ratio of absorbance at 260 and 280 nm for nucleic acid analytes.
"	number												
aliquot	analyte_concentration	"Concentration of the analyte in the aliquot.
"	number												
aliquot	analyte_isolation_method	"The name or general description of the method used to isolate the analyte.
"	string												
aliquot	analyte_type	"Any aspect of an aliquot used in an analysis or assay to characterize the sample. These aspects range from molecules, such as DNA and RNA, that can be extracted from the aliquot to general descriptions of the aliquot's components, such as cell count and morphology.
"	enum					DNA | RNA | Peptide | Protein | Morphology | Cell Count 							
aliquot	days_to_aliquot	"The amount of time, in days, between the date used for index and the time the aliquot was separated from the whole sample.
"	integer												
aliquot	hours_to_analyte	"The amount of time, in hours, that it took between the sample being fractionated and the analyte being extracted.
"	number												
aliquot	hours_to_preservation	"The amount of time, in hours, that it took between the sample being fractionated and the aliquot being frozen or otherwise preserved.
"	number												
aliquot	preservation_method	"The method used to preserve the aliquot.
"	enum					Cryopreserved | FFPE | Fresh | OCT | Snap Frozen | Frozen | Unknown 							
aliquot	storage_temperature	"The temperature, in centigrade, at which the aliquot was preserved and/or stored.
"	number												
aliquot	source_center		string	_terms.yaml#/source_center											
actionable_mutation	ActiveClinicalTrials	"ActiveClinicalTrials
"	string												
actionable_mutation	BxMorphology	"BxMorphology
"	string												
actionable_mutation	BxType	"BxType
"	string												
actionable_mutation	ClinicallyActionable	"ClinicallyActionable
"	number												
actionable_mutation	Consequence	"Consequence
"	string												
actionable_mutation	DaysFromAnchorDateToBxDate	"DaysFromAnchorDateToBxDate
"	integer												
actionable_mutation	DaysFromAnchorDateToBxResultsDate	"DaysFromAnchorDateToBxResultsDate
"	integer												
actionable_mutation	DrugsAssociatedWithResistance_IndicatedTumorTypes	"DrugsAssociatedWithResistance_IndicatedTumorTypes
"	string												
actionable_mutation	DrugsAssociatedWithSensitivity_IndicatedTumorTypes	"DrugsAssociatedWithSensitivity_IndicatedTumorTypes
"	string												
actionable_mutation	DrugsAssociatedWithSensitivity_OtherTumorTypes	"DrugsAssociatedWithSensitivity_OtherTumorTypes
"	string												
actionable_mutation	Exon_PGDonly	"Exon_PGDonly
"	number												
actionable_mutation	Fold	"Fold
"	number												
actionable_mutation	Gene	"Gene
"	string												
actionable_mutation	Lab	"Lab
"	string												
actionable_mutation	MutantFraction	"MutantFraction
"	number												
actionable_mutation	Mutation	"Mutation
"	string												
actionable_mutation	TotalNumberMutations	"TotalNumberMutations
"	integer												
actionable_mutation	TrialPhase	"TrialPhase
"	number												
imaging_file	data_type		enum	_terms.yaml#/data_type				Imaging File 							
imaging_file	data_format		enum	_terms.yaml#/data_format				JPEG | SVS | TIFF | PNG | GIF | DCM 							
imaging_file	data_category		enum	_terms.yaml#/data_category				MRI | CT Scan | Ultrasound 							
imaging_file	study_date			_definitions.yaml#/datetime											
imaging_file	magnification	Magnification used to capture the image.	number												
imaging_file	patient_sex	Patient's gender.	string												
imaging_file	series_number	Number of serial studies.	number												
imaging_file	series_description	Specifics of a given study.	string												
imaging_file	series_instance_uid	Unique identifier of a series.	string												
imaging_file	sop_class_uid	Classification of image storage.	string												
imaging_file	manufacturer	Manufacturer of the study equipment.	string												
imaging_file	study_description	Type of the study and a studied body part.	string												
imaging_file	study_id	Identifier of a study.	number												
imaging_file	study_instance_uid	Unique identifier of a study.	string												
imaging_file	patient_id	Scrambled patient identifier.	string												
imaging_file	body_part_examined	What part of the body was studied.	string												
imaging_file	days_to_image	Days from the case index date to the date the image was acquired.	integer												
imaging_file	imaging_instrument	"The instrument model used to acquire the image.
"	string												
imaging_file	imaging_type	The type of imaging exam performed.	enum					MRI | CT Scan | Ultrasound 							
imaging_file	modality	"What mode the imaging instrument was in during image acquisition.
"	string												
imaging_file	scan_id	"The identification number for a stack of images generated during a single scan.
"	string												
patient_lab_chem	Abnormal	"Abnormal
"	string												
patient_lab_chem	Component	"Component
"	string												
patient_lab_chem	DaysFromAnchorDateToLabChemCompleteDate	"DaysFromAnchorDateToLabChemCompleteDate
"	number												
patient_lab_chem	DaysFromAnchorDateToLabChemSpecimenDate	"DaysFromAnchorDateToLabChemSpecimenDate
"	integer												
patient_lab_chem	ICDOncologyCode	"ICDOncologyCode
"	string												
patient_lab_chem	LabChemCompleteTime	"LabChemCompleteTime
"	string												
patient_lab_chem	LabChemPrintTestName	"LabChemPrintTestName
"	string												
patient_lab_chem	LabChemResultNumericValue	"LabChemResultNumericValue
"	number												
patient_lab_chem	LabChemResultValue	"LabChemResultValue
"	number												
patient_lab_chem	LabChemSpecimenTime	"LabChemSpecimenTime
"	string												
patient_lab_chem	LabChemTestName	"LabChemTestName
"	string												
patient_lab_chem	LabCode	"LabCode
"	string												
patient_lab_chem	RefHigh	"RefHigh
"	number												
patient_lab_chem	RefLow	"RefLow
"	number												
patient_lab_chem	Topography	"Topography
"	string												
patient_lab_chem	Units	"Units
"	string												
outpat_visit	AgentOrangeFlag	"AgentOrangeFlag
"	string												
outpat_visit	AppointmentStatus	"AppointmentStatus
"	string												
outpat_visit	AppointmentType	"AppointmentType
"	string												
outpat_visit	CheckOutTime	"CheckOutTime
"	string												
outpat_visit	Chicago_VisitSID	"Chicago_VisitSID
"	string												
outpat_visit	COProcessCompleteTime	"COProcessCompleteTime
"	string												
outpat_visit	DaysFromAnchorDateToCheckOutDate	"DaysFromAnchorDateToCheckOutDate
"	integer												
outpat_visit	DaysFromAnchorDateToCOProcessCompleteDate	"DaysFromAnchorDateToCOProcessCompleteDate
"	integer												
outpat_visit	DaysFromAnchorDateToEncounterCreatedDate	"DaysFromAnchorDateToEncounterCreatedDate
"	integer												
outpat_visit	DaysFromAnchorDateToEncounterDate	"DaysFromAnchorDateToEncounterDate
"	integer												
outpat_visit	DaysFromAnchorDateToVisitCreatedDate	"DaysFromAnchorDateToVisitCreatedDate
"	integer												
outpat_visit	DaysFromAnchorDateToVisitDate	"DaysFromAnchorDateToVisitDate
"	integer												
outpat_visit	DiagnosisCount	"DiagnosisCount
"	number												
outpat_visit	EncounterComputerGeneratedFlag	"EncounterComputerGeneratedFlag
"	string												
outpat_visit	EncounterCreatedTime	"EncounterCreatedTime
"	string												
outpat_visit	EncounterTime	"EncounterTime
"	string												
outpat_visit	EncounterType	"EncounterType
"	string												
outpat_visit	HeadNeckCancerFlag	"HeadNeckCancerFlag
"	string												
outpat_visit	IonizingRadiationFlag	"IonizingRadiationFlag
"	string												
outpat_visit	NoncountClinicFlag	"NoncountClinicFlag
"	string												
outpat_visit	OriginatingProcessType	"OriginatingProcessType
"	string												
outpat_visit	PatientAgentOrangeFlag	"PatientAgentOrangeFlag
"	string												
outpat_visit	PatientIonizingRadiationCode	"PatientIonizingRadiationCode
"	string												
outpat_visit	PatientNoseThroatRadiumExposureFlag	"PatientNoseThroatRadiumExposureFlag
"	string												
outpat_visit	PatientShipboardHazardDefenseFlag	"PatientShipboardHazardDefenseFlag
"	string												
outpat_visit	PatientStatusInOut	"PatientStatusInOut
"	number												
outpat_visit	PrimaryStopCodeName	"PrimaryStopCodeName
"	string												
outpat_visit	ProcedureCount	"ProcedureCount
"	integer												
outpat_visit	ProviderCount	"ProviderCount
"	integer												
outpat_visit	SecondaryStopCodeName	"SecondaryStopCodeName
"	string												
outpat_visit	ServiceCategory	"ServiceCategory
"	string												
outpat_visit	ShipboardHazardDefenseFlag	"ShipboardHazardDefenseFlag
"	string												
outpat_visit	VisitCreatedTime	"VisitCreatedTime
"	string												
outpat_visit	VisitDependentEntryCount	"VisitDependentEntryCount
"	integer												
outpat_visit	VisitTime	"VisitTime
"	string												
outpat_v_procedure_diagnosis	Chicago_VisitSID	"Chicago_VisitSID
"	string												
outpat_v_procedure_diagnosis	CPTCategory	"CPTCategory
"	string												
outpat_v_procedure_diagnosis	CPTCode	"CPTCode
"	string												
outpat_v_procedure_diagnosis	CPTDescription	"CPTDescription
"	string												
outpat_v_procedure_diagnosis	CPTName	"CPTName
"	string												
outpat_v_procedure_diagnosis	DaysFromAnchorDateToEventDate	"DaysFromAnchorDateToEventDate
"	integer												
outpat_v_procedure_diagnosis	DaysFromAnchorDateToVisitDate	"DaysFromAnchorDateToVisitDate
"	integer												
outpat_v_procedure_diagnosis	DaysFromAnchorDateToVProcedureDate	"DaysFromAnchorDateToVProcedureDate
"	integer												
outpat_v_procedure_diagnosis	EventTime	"EventTime
"	string												
outpat_v_procedure_diagnosis	ICD10Code	"ICD10Code
"	string												
outpat_v_procedure_diagnosis	ICD10Description	"ICD10Description
"	string												
outpat_v_procedure_diagnosis	ICD9Code	"ICD9Code
"	string												
outpat_v_procedure_diagnosis	ICD9Description	"ICD9Description
"	string												
outpat_v_procedure_diagnosis	MajorCPTCategory	"MajorCPTCategory
"	string												
outpat_v_procedure_diagnosis	OrdinalNumber	"OrdinalNumber
"	integer												
outpat_v_procedure_diagnosis	VisitTime	"VisitTime
"	string												
outpat_v_procedure_diagnosis	VProcedureTime	"VProcedureTime
"	string												
icd_code	DaysFromAnchorDateToEndDate	"DaysFromAnchorDateToEndDate
"	integer												
icd_code	DaysFromAnchorDateToStartDate	"DaysFromAnchorDateToStartDate
"	integer												
icd_code	EndTime	"EndTime
"	string												
icd_code	ICD10Code	"ICD10Code
"	string												
icd_code	ICD10Description	"ICD10Description
"	string												
icd_code	ICD9Code	"ICD9Code
"	number												
icd_code	ICD9Description	"ICD9Description
"	string												
icd_code	ParentTableName	"ParentTableName
"	string												
icd_code	Sta3n	"Sta3n
"	integer												
icd_code	StartTime	"StartTime
"	string												
icd_code	TableName	"TableName
"	string												
rx_outpat	AgentOrangeFlag	"AgentOrangeFlag
"	string												
rx_outpat	ArchivedFlag	"ArchivedFlag
"	string												
rx_outpat	BingoWaitTime	"BingoWaitTime
"	number												
rx_outpat	CMOPFlag	"CMOPFlag
"	string												
rx_outpat	CMOPStatus	"CMOPStatus
"	number												
rx_outpat	CombatVeteranFlag	"CombatVeteranFlag
"	string												
rx_outpat	CopayTransaction	"CopayTransaction
"	string												
rx_outpat	CounseledFlag	"CounseledFlag
"	string												
rx_outpat	DAWCode	"DAWCode
"	number												
rx_outpat	DaysFromAnchorDateToCancelDate	"DaysFromAnchorDateToCancelDate
"	integer												
rx_outpat	DaysFromAnchorDateToFinishingDate	"DaysFromAnchorDateToFinishingDate
"	integer												
rx_outpat	DaysFromAnchorDateToHoldDate	"DaysFromAnchorDateToHoldDate
"	integer												
